y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
0.771875,0.725,0.775,0.79375,0.746875,0.79375,0.7875,0.790625,0.796875,2.253125,0.753125,1.190625,2.975,4.371875,10.384375,8.6,12.4625,10.134375,5.59375,10.415625,5.528125,22.39375,5.109375,12.015625,11.14375,11.640625
0.809375,0.765625,0.73125,0.775,0.734375,0.81875,0.70625,0.759375,0.7625,2.6625,0.7375,1.653125,6.75625,3.165625,8.125,11.46875,11.33125,11.59375,4.4375,17.384375,6.921875,17.546875,6.446875,3.790625,6.9875,10.559375
0.75625,0.75,0.7375,0.790625,0.7,0.76875,0.76875,0.746875,0.746875,2.58125,0.75625,1.10625,2.821875,4.08125,9.1625,9.5375,12.409375,14.225,4.65625,17.5,6.8375,18.084375,5.315625,4.6375,9.15625,11.028125
0.75,0.809375,0.74375,0.778125,0.75,0.8,0.728125,0.7375,0.753125,3.2375,0.771875,1.36875,3.896875,4.321875,14.909375,11.13125,17.278125,14.790625,5.0125,17.54375,7.428125,19.28125,6.721875,4.58125,12.65625,15.18125
0.740625,0.74375,0.715625,0.75625,0.71875,0.759375,0.75625,0.76875,0.778125,3.1,0.771875,2.540625,6.003125,3.625,9.8875,10.059375,11.86875,13.45,5.128125,12.403125,8.403125,44.40625,7.746875,9.109375,11.26875,8.5
0.765625,0.734375,0.753125,0.809375,0.790625,0.8125,0.78125,0.746875,0.79375,3.7625,0.7875,2.159375,4.73125,4.23125,12.234375,10.9,16.2375,12.490625,7.9125,18.428125,7.925,28.271875,8.75625,6.51875,12.71875,10.7625
0.778125,0.759375,0.753125,0.85625,0.778125,0.75,0.74375,0.7125,0.778125,2.865625,0.778125,0.95625,5.90625,4.496875,18.465625,12.184375,12.790625,13.88125,11.640625,11.034375,7.165625,20.878125,11.05625,6.25625,11.921875,11.49375
0.784375,0.775,0.7125,0.771875,0.703125,0.78125,0.7875,0.746875,0.759375,3.375,0.778125,1.778125,8.721875,5.5375,11.440625,15.940625,14.290625,13.79375,11.20625,13.71875,16.546875,20.109375,9.671875,7.353125,20.11875,12.359375
0.7875,0.7875,0.721875,0.825,0.71875,0.765625,0.759375,0.7625,0.8125,4.615625,0.75625,1.33125,5.296875,5.828125,15.509375,12.78125,10.759375,18.165625,7.43125,16.49375,10.73125,11.946875,10.4,6.31875,12.8125,11.65
0.753125,0.734375,0.746875,0.834375,0.7625,0.765625,0.790625,0.784375,0.753125,3.73125,0.78125,0.975,8.921875,6.496875,15.7125,11.69375,13.721875,18.6375,13.284375,11.26875,10.325,15.309375,10.525,6.403125,11.603125,11.509375
0.746875,0.73125,0.75625,0.8125,0.725,0.75,0.765625,0.85625,0.746875,4.390625,0.746875,1.43125,3.834375,5.953125,16.834375,11.903125,14.93125,22.275,11.353125,15.1,8.196875,16.85,12.13125,8.73125,21.03125,18.1125
0.78125,0.7875,0.759375,0.790625,0.775,0.796875,0.771875,0.99375,0.759375,4.809375,0.765625,1.190625,4.7875,5.04375,15.853125,20.65,17.20625,26.521875,14.621875,14.528125,6.734375,19.565625,20.140625,7.85625,19.559375,18.44375
0.775,0.753125,0.746875,0.78125,0.79375,0.778125,0.740625,0.775,0.759375,4.6875,0.79375,0.965625,5.496875,6.465625,11.6875,13.04375,16.934375,19.7625,12.015625,13.20625,7.6375,32.54375,18.471875,8.19375,24.0625,12.703125
0.759375,0.821875,0.8,0.75625,0.759375,0.809375,0.765625,0.784375,0.8875,3.490625,0.759375,3.15625,6.40625,6.628125,12.134375,11.959375,12.41875,20.60625,14.3625,13.3,9.678125,26.209375,15.125,12.45625,13.76875,19.5875
0.778125,0.734375,0.725,0.83125,0.746875,0.796875,0.728125,0.734375,0.7875,3.70625,0.778125,4.2875,4.828125,8.515625,18.99375,14.58125,15.521875,19.315625,14.878125,19.540625,11.75625,22.175,22.45625,10.15625,14.353125,12.346875
0.76875,0.734375,0.74375,0.75,0.825,0.975,0.821875,0.74375,0.79375,5.375,0.725,4.15625,5.525,10.671875,17.071875,14.91875,17.24375,23.959375,10.896875,14.04375,11.5375,22.31875,21.515625,10.975,13.946875,12.465625
0.75625,0.740625,0.81875,0.796875,0.740625,1.075,0.846875,0.709375,0.784375,4.61875,0.765625,1.93125,7.08125,11.73125,15.546875,15.659375,11.703125,17.4125,15.553125,18.465625,11.5375,20.81875,35.828125,14.528125,12.915625,20.28125
0.75,0.78125,0.76875,0.759375,0.7375,0.81875,0.765625,0.7875,0.834375,5.065625,0.7375,2.90625,7.490625,11.21875,17.8625,17.653125,12.0125,21.109375,13.453125,21.80625,18.040625,20.040625,19.225,12.003125,19.09375,19.565625
0.7375,0.803125,0.765625,0.828125,0.796875,0.775,0.728125,0.728125,0.784375,5.8375,0.753125,1.41875,7.321875,10.49375,10.234375,18.878125,12.434375,24.05,21.234375,25.765625,11.7,41.3,20.35,8.490625,22.33125,17.746875
0.75,0.765625,0.73125,0.80625,0.740625,0.8,0.7375,0.809375,0.796875,4.125,0.784375,1.665625,6.5625,9.965625,12.425,17.8375,14.040625,22.08125,18.471875,29.24375,15.415625,22.35625,14.91875,15.19375,18.915625,21.415625
0.771875,0.753125,0.740625,0.771875,0.771875,0.859375,0.759375,0.75625,0.821875,5.2375,0.790625,2.0625,7.49375,8.475,18.209375,18.271875,17.11875,17.740625,20.553125,19.96875,10.821875,43.73125,21.95,11.1875,18.675,12.196875
0.7625,0.84375,0.80625,0.75,0.80625,0.79375,0.765625,0.76875,0.825,5.625,0.80625,3.609375,10.015625,8.25625,13.08125,19.303125,17.440625,16.796875,20.565625,14.2875,9.653125,23.475,19.4375,12.91875,11.8625,19.7
0.796875,0.75625,0.7875,0.79375,0.740625,0.859375,0.759375,0.80625,0.809375,6.9125,0.778125,6.878125,6.853125,9.73125,10.753125,18.665625,12.7875,18.609375,18.790625,12.303125,13.1625,44.734375,15.878125,16.3125,13.5625,19.178125
0.784375,0.753125,0.803125,0.784375,0.76875,0.8125,0.715625,0.753125,0.79375,5.659375,0.76875,3.528125,7.134375,13.909375,21.475,17.884375,14.109375,21.1,19.03125,9.771875,16.084375,21.4375,14.065625,10.003125,13.06875,15.10625
0.746875,0.73125,0.790625,0.80625,0.759375,0.796875,0.75,0.775,0.790625,6.671875,0.796875,4.796875,8.915625,13.428125,16.571875,18.03125,16.278125,20.871875,20.8,12.1375,20.49375,24.0,17.378125,14.14375,12.1375,20.45625
0.765625,0.746875,0.78125,0.78125,0.7875,0.796875,0.7625,0.75625,0.759375,4.871875,0.7875,4.69375,12.659375,10.175,12.096875,18.0625,19.765625,21.303125,21.421875,14.753125,12.334375,51.50625,44.025,11.253125,12.353125,42.671875
0.75625,0.8,0.790625,0.809375,0.8125,0.79375,0.75,0.775,0.784375,5.54375,0.75625,3.9625,7.715625,14.0375,19.0125,20.20625,17.5625,19.19375,19.440625,19.840625,17.721875,50.24375,19.85,12.521875,11.896875,28.5375
0.796875,0.778125,0.771875,0.809375,0.771875,0.796875,0.725,0.765625,0.753125,6.209375,0.76875,4.809375,12.309375,11.628125,14.240625,21.696875,14.028125,22.896875,19.434375,14.190625,22.04375,42.146875,20.003125,13.7,12.14375,18.765625
0.7625,0.7375,0.753125,0.825,0.75625,0.771875,0.746875,0.78125,0.8,5.859375,0.76875,3.496875,15.9625,13.165625,18.271875,20.009375,21.2375,22.746875,17.853125,23.509375,17.903125,22.259375,35.0625,22.79375,15.709375,20.753125
0.7875,0.753125,0.771875,0.78125,0.765625,0.79375,0.746875,0.75,0.809375,6.01875,0.821875,4.709375,8.190625,9.46875,17.396875,19.45,19.396875,20.575,17.965625,18.534375,19.4125,19.828125,19.884375,18.428125,21.05625,43.403125
0.778125,0.7875,0.790625,0.78125,0.721875,0.809375,0.78125,1.853125,0.81875,5.265625,0.80625,7.2,12.0,11.275,17.753125,19.596875,20.325,20.3125,21.684375,19.503125,19.225,22.309375,19.490625,16.8375,18.61875,22.203125
0.74375,0.79375,0.809375,0.75,0.76875,0.79375,0.75,1.95625,0.784375,5.409375,0.796875,4.215625,10.36875,11.121875,13.76875,18.6,22.325,21.575,20.134375,22.465625,19.38125,19.803125,19.4625,16.896875,45.715625,40.3875
0.796875,0.778125,0.75625,0.784375,0.8,0.803125,0.76875,1.121875,0.8,4.609375,0.75625,4.36875,10.2,11.5375,11.465625,19.034375,27.021875,25.409375,20.775,19.16875,18.3625,21.140625,21.796875,15.334375,20.50625,53.528125
0.7875,0.75,0.771875,0.784375,0.75625,0.78125,0.75625,1.146875,0.828125,4.965625,0.778125,5.575,10.909375,12.5,15.79375,20.746875,26.259375,22.340625,18.609375,21.38125,13.846875,21.525,16.265625,16.815625,21.634375,21.6375
